Iteração 73: x = [1.00001499e+00 7.49353554e-06], f(x) = 1.2499812662313357, grad_norm = 1.1180257254895376, alpha = 2.0530310231465696e-07
Iteração 74: x = [1.00001519e+00 7.59618632e-06], f(x) = 1.249981009606317, grad_norm = 1.1180256107224626, alpha = 2.0530310231465696e-07
Iteração 75: x = [1.0000154e+00 7.6988371e-06], f(x) = 1.2499807529813511, grad_norm = 1.1180254959553995, alpha = 2.0530310231465696e-07
Iteração 76: x = [1.00001560e+00 7.80148786e-06], f(x) = 1.2499804963564376, grad_norm = 1.118025381188348, alpha = 2.0530310231465696e-07
Iteração 77: x = [1.00001581e+00 7.90413861e-06], f(x) = 1.2499802397315771, grad_norm = 1.1180252664213084, alpha = 2.0530310231465696e-07
Iteração 78: x = [1.00001601e+00 8.00678935e-06], f(x) = 1.2499799831067693, grad_norm = 1.1180251516542805, alpha = 2.0530310231465696e-07
Iteração 79: x = [1.00001622e+00 8.10944008e-06], f(x) = 1.249979726482014, grad_norm = 1.1180250368872646, alpha = 2.0530310231465696e-07
Iteração 80: x = [1.00001642e+00 8.21209079e-06], f(x) = 1.2499794698573115, grad_norm = 1.1180249221202603, alpha = 2.0530310231465696e-07
Iteração 81: x = [1.00001663e+00 8.31474150e-06], f(x) = 1.2499792132326617, grad_norm = 1.1180248073532677, alpha = 2.0530310231465696e-07
Iteração 82: x = [1.00001683e+00 8.41739220e-06], f(x) = 1.2499789566080648, grad_norm = 1.1180246925862871, alpha = 2.0530310231465696e-07
Iteração 83: x = [1.00001704e+00 8.52004289e-06], f(x) = 1.2499786999835203, grad_norm = 1.1180245778193183, alpha = 2.0530310231465696e-07
Iteração 84: x = [1.00001725e+00 8.62269356e-06], f(x) = 1.2499784433590286, grad_norm = 1.118024463052361, alpha = 2.0530310231465696e-07
Iteração 85: x = [1.00001745e+00 8.72534423e-06], f(x) = 1.2499781867345894, grad_norm = 1.1180243482854157, alpha = 2.0530310231465696e-07
Iteração 86: x = [1.00001766e+00 8.82799489e-06], f(x) = 1.249977930110203, grad_norm = 1.118024233518482, alpha = 2.0530310231465696e-07
Iteração 87: x = [1.00001786e+00 8.93064553e-06], f(x) = 1.2499776734858692, grad_norm = 1.1180241187515603, alpha = 2.0530310231465696e-07
Iteração 88: x = [1.00001807e+00 9.03329617e-06], f(x) = 1.249977416861588, grad_norm = 1.1180240039846503, alpha = 2.0530310231465696e-07
Iteração 89: x = [1.00001827e+00 9.13594679e-06], f(x) = 1.2499771602373597, grad_norm = 1.1180238892177519, alpha = 2.0530310231465696e-07
Iteração 90: x = [1.00001848e+00 9.23859740e-06], f(x) = 1.249976903613184, grad_norm = 1.1180237744508654, alpha = 2.0530310231465696e-07
